# Метеостанция Москва (центр, Балчуг), Россия, WMO_ID=27605, выборка с 01.04.2019 по 08.12.2019, все дни
# Кодировка: UTF-8
# Информация предоставлена сайтом "Расписание Погоды", rp5.ru
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.
# Обозначения метеопараметров см. по адресу http://rp5.ru/archive.php?wmo_id=27605&lang=ru
#
"Местное время в Москве (центр, Балчуг)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"08.12.2019 21:00";"2.7";"743.4";"754.9";"";"83";"Ветер, дующий с запада";"1";"";"";"90  или более, но не 100%";" ";"";"";"";"3.6";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"90  или более, но не 100%";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"0.0";"Осадков нет";"12";"";"";"";"";
"08.12.2019 18:00";"3.5";"742.0";"753.4";"";"77";"Ветер, дующий с запада";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"-0.2";"Осадков нет";"12";"";"";"";"";
"08.12.2019 15:00";"3.3";"740.2";"751.6";"";"76";"Ветер, дующий с юго-запада";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"-0.5";"";"";"";"";"";"";
"08.12.2019 12:00";"2.1";"740.0";"751.5";"";"81";"Ветер, дующий с западо-северо-запада";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"-0.8";"";"";"";"";"";"";
"08.12.2019 09:00";"1.4";"739.6";"751.0";"";"80";"Ветер, дующий с западо-юго-запада";"1";"";"";"100%.";" ";"";"";"-0.1";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"-1.8";"Осадков нет";"12";"";"";"";"";
"08.12.2019 06:00";"0.7";"739.3";"750.7";"";"77";"Ветер, дующий с юго-запада";"1";"";"";"100%.";" ";"";"";"-0.1";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"-2.9";"Осадков нет";"12";"";"";"";"";
"08.12.2019 03:00";"-0.1";"739.6";"751.1";"";"73";"Ветер, дующий с юго-запада";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"10.0";"-4.4";"";"";"";"";"";"";
"08.12.2019 00:00";"0.9";"740.5";"752.1";"";"67";"Ветер, дующий с юга";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"10.0";"-4.6";"";"";"";"";"";"";
"07.12.2019 21:00";"0.9";"741.6";"753.1";"";"66";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"2.9";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"10.0";"-4.9";"Следы осадков";"12";"";"";"";"";
"07.12.2019 18:00";"2.5";"742.3";"753.9";"";"67";"Штиль, безветрие";"0";"";"";"60%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"60%.";"2500 или более, или облаков нет.";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-3.0";"Следы осадков";"12";"";"";"";"";
